,expected_timing_alpha_60d,regime_baseline_60d,expected_net_return_60d,raw_probability,probability_positive,forecast_percentile,expert,model_train_end,calibration_method,calibration_samples,calibration_brier,calibration_ece,price_to_ma200,ma50_to_ma200,drawdown_60d,momentum_20d,Breadth_Score_change_5d,Risk_Score_change_5d
2022-06-08,0.0,0.0584960534652939,0.0584960534652939,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.14186881889039804,-0.10230670747516157,-0.1712062467011749,0.02287535160654275,-4.8072660754089725e-06,0.0
2022-06-09,0.0,0.05808225887892899,0.05808225887892899,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.16399507751013442,-0.10539320280038533,-0.1934050762634758,0.025904561295018613,-3.2048440502726486e-06,0.0
2022-06-10,0.0,0.05769573260432473,0.05769573260432473,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.19252768609798931,-0.10871030267240045,-0.22185416907761035,-0.0079340866125861,-2.136562700181766e-06,0.0
2022-06-13,0.0,0.05692800182883127,0.05692800182883127,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.22904134575790158,-0.11239497728169046,-0.2580351634389776,-0.08786533725094858,-1.4243751334545109e-06,0.0
2022-06-14,0.0,0.05535623209424219,0.05535623209424219,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.22657247257772561,-0.1159843242408134,-0.25668815814541057,-0.07549259819260801,-9.495834223030074e-07,0.0
2022-06-15,0.0,0.05396798522398839,0.05396798522398839,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.20618931770492954,-0.11964823742522745,-0.23812610782069177,-0.07633019475080438,-6.330556148686717e-07,0.0
2022-06-16,0.0,0.0526032417356221,0.0526032417356221,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.23706917773368297,-0.12336573612644908,-0.26886514339765244,-0.06783694870890056,-4.2203707657911454e-07,0.0
2022-06-17,0.0,0.0513408297376655,0.0513408297376655,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.22665595074831657,-0.1265000273476936,-0.2599746383500122,-0.05141918232947562,-2.813580510527431e-07,0.0
2022-06-21,0.0,0.13286611379540458,0.13286611379540458,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.20605647619816891,-0.12938738783855952,-0.24130437516739445,-0.02445514528898196,-1.8757203403516206e-07,0.0
2022-06-22,0.0,0.12669835293559084,0.12669835293559084,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.20610673083574038,-0.13200707546599977,-0.24241089806458516,-0.04181021441469568,-1.2504802269010805e-07,0.0
2022-06-23,0.0,0.12064896952302767,0.12064896952302767,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.19319769905206785,-0.13397495366824963,-0.23112823046401287,-0.006414189557774064,-8.336534846007206e-08,0.0
2022-06-24,0.0,0.11517589328253669,0.11517589328253669,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.1645590952746615,-0.13544885964201636,-0.20071399137519186,0.01344596447334201,-5.557689897338138e-08,0.0
2022-06-27,0.0,0.11493151191175005,0.11493151191175005,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.16968437300887063,-0.13742948820703194,-0.20657398760653645,-0.02110637428413764,-3.7051265982254254e-08,0.0
2022-06-28,0.0,0.11439416445264919,0.11439416445264919,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.1939404441007656,-0.13939808993168024,-0.23074708716105963,-0.08092821987291865,-2.47008439881695e-08,0.0
2022-06-29,0.0,0.1133620044266758,0.1133620044266758,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.19216296360490814,-0.14137809832037618,-0.23004197019741834,-0.07763900696857917,-1.6467229325446335e-08,0.0
2022-06-30,0.0,0.11238892734456189,0.11238892734456189,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.2011259109979595,-0.1439645876829463,-0.22232393361032576,-0.08229127352429155,-1.097815288363089e-08,0.0
2022-07-01,0.0,0.11140275364997441,0.11140275364997441,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.19477647732780679,-0.14615337408709705,-0.201716151093711,-0.1008579554775264,-7.318768589087261e-09,0.0
2022-07-05,0.0,0.11029129546863418,0.11029129546863418,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.17994641856781757,-0.1477248561754282,-0.18804946463628192,-0.06103320253123501,-4.879179059391508e-09,0.0
2022-07-06,0.0,0.10952980138896529,0.10952980138896529,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.17370884454371527,-0.14877194359608936,-0.17125821840768973,-0.05814989825432715,-3.252786039594339e-09,0.0
2022-07-07,0.0,0.10881068761569519,0.10881068761569519,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.15519208118022976,-0.14987525897746268,-0.1466813446193992,-0.04622256420938109,-2.1685240263962258e-09,0.0
2022-07-08,0.0,0.10820213704613721,0.10820213704613721,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.15329342764269138,-0.15024670270728802,-0.14561080333023924,-0.03810367871142695,-1.4456826842641509e-09,0.0
2022-07-11,0.0,0.10393538850372364,0.10393538850372364,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.1704446426189703,-0.15084090229243619,-0.16386428315482382,-0.03274657648428736,-9.63788456176101e-10,0.0
2022-07-12,0.0,0.1034598338537246,0.1034598338537246,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.17747661467337128,-0.15216714978490142,-0.1717489435223547,-0.007096546046030272,-6.42525637450734e-10,0.0
2022-07-13,0.0,0.10318851799005707,0.10318851799005707,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.17815627869014428,-0.15267147668438963,-0.17345624686802852,0.03917464621738631,-4.28350424967156e-10,0.0
2022-07-14,0.0,0.10326513684662113,0.10326513684662113,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.17424690832561285,-0.15346763902099425,-0.17050466069924874,0.04099565400121796,-2.8556694997810405e-10,0.0
2022-07-15,0.0,0.10335398159345538,0.10335398159345538,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.15846350143013,-0.1541760046721773,-0.14295900404135065,0.03405596937536459,-1.903779666520694e-10,0.0
2022-07-18,0.0,0.10339135654538595,0.10339135654538595,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.16476277793348426,-0.15562638820948738,-0.13225703641658348,0.06841199893324346,-1.2691864443471296e-10,0.0
2022-07-19,0.0,0.10367044906524396,0.10367044906524396,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.13835457252607963,-0.1557326799777773,-0.09322400364499894,0.088038502144838,-8.461242962314197e-11,0.0
2022-07-20,0.0,0.02991732324887124,0.02991732324887124,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.12398882467886663,-0.15538002503331272,-0.07884553613586198,0.0780917779291106,-5.640828641542799e-11,0.0
2022-07-21,0.0,0.029843652172269024,0.029843652172269024,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.11085237162604977,-0.15422160082945735,-0.06562243366418496,0.0951649516767028,-3.7605524276952e-11,0.0
2022-07-22,0.0,0.029786936147510802,0.029786936147510802,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.12576330476592468,-0.1534582237854173,-0.08200686735897944,0.060172096556751375,-2.5070349517968003e-11,0.0
2022-07-25,0.0,0.029701136197916755,0.029701136197916755,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.1300147171845527,-0.15222833714732908,-0.08723547877541948,0.01921177309020683,-1.6713566345312004e-11,0.0
2022-07-26,0.0,0.09221332206669298,0.09221332206669298,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.1462802739121506,-0.151185572994052,-0.10517015872913271,0.006565209617924728,-1.1142377563541335e-11,0.0
2022-07-27,0.0,0.029426397179002556,0.029426397179002556,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.10952124024267029,-0.15021945245902757,-0.06735500591799004,0.08206937480967968,-7.42825170902756e-12,0.0
2022-07-28,0.0,0.029375461835331136,0.029375461835331136,0.01,0.42744695408667155,0.0,risk_off,2022-06-01,oos_isotonic,1198.0,0.2363279519022925,0.04817398763735425,-0.10020045492414376,-0.14894580488590992,-0.058235569177933155,0.0916492548644876,-4.952167806018374e-12,0.0
